Query	UserId	ChatsQuantity	BotAnswer	BotHelp	Date
Добрый день! Подскажите пожалуйста можно ли дебиторскую задолженность по 71 счету ( задолженность по подотчету руководителя перед собственной организацией) закрыть годовой прибылью. Какие можно будет сделать проводки?	372809	1	0	0	03/15/2024
"Хорошо, понятно если в договоре лизинга прописано, что при досрочном выкупе, сумма выкупной стоимости 1000р вч НДС 166,66, включена в последний платеж . И в СФ выставлена 
как Услуги по финансовой аренде (лизингу) по дог. лизинга №245/21-ПСК от 19.10.2021(Координатно-револьверный пресс AMADA м.AE2510NT со щеточным столом, зав. №22512274) на сумму 5 705 287,49 вч НДС 20%. Это значит нужно отминусовать 1000р и ввести как выкуп лизинга , а остальную сумму как фин аренду?"	1820537	1	0	0	45366
Добрый вечер. ООО на УСН (доходы минус расходы) продает товар в розницу по программе -рассрочка предоставленная банком. Банк перечисляет сумму за товар за минусом % скидки банку. Как учесть у ООО сумму % скидки банку? - При налогообложении включить в налогооблагаемую базу (УСН 15%) только сумму поступившую на р/счет за минусом % скидки банку или сумму скидки тоже включить в доход в НУ?	13437323	1	0	0	45366
Организация ввезла из Киргизии (страна ЕАЭС) товар с кодом ТН ВЭД 9303300000. В каком документе можно просмотреть список товаров (кодов ТН ВЭД) , чтобы проверить следует ли подавать статотчетность в Таможню о ввозе этих товаров.	8754814	1	0	0	45366
Здравствуйте! А на каком счете учитывать земельные участки: 01 или 08?	270766	1	0	0	45366
Здравствуйте	897626	1	1	0	45366
добрый день. контрагент ИП, но оплатил услугу нам со своего личного счета. как провести оплату?	16559331	1	0	0	45366
Добрый день! Организация применяет усн 6% (доходы). Если организация в 1 квартале превысила доход по усн 236 млн, то налог рассчитывается сразу по повышенной ставке 8%, или 199,35*6%, а потом сверх лимита *8%	2026991	1	0	0	45366
Добрый день!	1628786	1	1	0	45366
Доброе утро! а есть какая то сводная информация по РФ по пониженным ставкам УСН 1% по регионам?	21501536	1	0	0	45366
Здравствуйте. Вопрос: увольнение осужденного работника, получившего реальный срок. как выплатить его заработную плату. Карты нет. Получал наличкой через кассу.	4915813	1	0	0	45366
Добрый день. Подскажите пожалуйста сроки подачи заявления на перерегистрацию, при смене фискального накопителя в ККТ	3569699	1	0	0	45366
Добрый день! Подскажите пожалуйста, как оприходовать материалы полученные от Поставщика, если Поставщик не предоставил документы и товар не соответствует по количеству и наименованию от оплаченного. Поставщик на связь не выходит. Сумма с НДС.	250541	1	0	0	45366
Взяли в аренду землю у физического лица, мы ООО хотим построить здание и склады, ИМЕЕМ ЛИ ПРАВО ПРИНЯТЬ ВСЕ ЗАТРАТЫ НА ООО (НДС+ПРИБЫЛЬ)	1616278	1	0	0	45366
