Query	UserId	ChatsQuantity	BotAnswer	BotHelp	Date
"Добрый день! Взаимозависимые организации А (продавец) и Б (покупатель) в рамках торгово- закупочной деятельности привлекли организацию В. Функция организации В заключается в предоставлении коммерческого кредита (предоплата организации А (продавцу) и длительной отсрочки платежа (6 мес.) организации Б (покупателю), процент за пользование денежными средствами учтен в стоимости товара. Для организации В коммерческое кредитование является основным видом деятельности.

Правильно ли полагаем, что данная сделка не может быть приравнена к сделке между взаимозависимыми лицами, в связи с несоответствием"	18561591	1	0	0	45362
Доброе утро. Раздел 2.1.1 строки 140, 141, 142 и 143 декларации по УСН заполняются нарастающим итого или по квартально?	21019602	1	0	0	45362
Здравствуйте	897626	1	1	0	45362
Здравствуйте, подскажите, пжл если юр лицо создано 26 декабря система налогообложения УСН доходы - расходы, то нужно подать декларацию по усн с нулями?	2783293	1	0	0	45362
Подскажите пожалуйста в расходы усн доходы минус расходы входят ли лизинговые авансовые платежи	135247	1	0	0	45362
Добрый день! Подскажите пожалуйста, сотрудник с сегодняшнего дня в очередном отпуске, хочет сесть с ребенком на больничный сегодня, как это оформить? Знаю, что если находишься на больничном с членом семьи, а не сам, то отпуск не продлевается и выплаты не положены, или это как-то по другому оформляется?	271750	1	0	0	45362
должны ли отправлять уведомление по усн за4 кв 2023?	727147	1	0	0	45362
"Добрый день. Вопрос по учету лизинга у лизингополучателя. - По договору финансовой аренды (лизинга) поступил 
ОС (экскаватор). По условиям договора 
- Лизинодатель передает Предмет лизинга Лизингополучателю в финансовую аренду. 
Акт приема передачи предмета лизинга подписан 07.07.2023г. 25 747 ,00"	637487	1	0	0	45362
Добрый день. ООО создано в 2023 году. По какой строке Отчета об изменении капитала отражается внесение уставного капитала участниками Общества?	17460266	1	0	0	45362
как подтвердить длительный цикл производства более 6 месяцев,чтобы не платить НДС с аванса (постановление №468 от 28.07.2006)	19745423	1	0	0	45362
Добрый день! Как доказать ущерб, если в результате ДТП водитель молоковоза пролил молоко. Собственником молока является другая организация. Водитель работает в организации, которая является Грузополучателем.	6933712	1	0	0	45362
ликвидационная стоимость применяется ли в налоговом учете	8707724	1	0	0	45362
доброе утро, ООО находится на усн(доходы минус расходы) заключает договор аренды с правом выкупа на 5 лет. Как учитывать расходы по налогам?	7795330	1	0	0	45362
Добрый день	17927138	1	1	0	45362
Здравствуйте! Можно ли оформить Переводом исполнительного директора на должность Директора? Заранее спасибо!	15258428	1	1	1	45362
"Добрый день! Может ли отнести к расходам ООО на усн доходы-расходы организацию перевозки сопроводительных документов, выставляет транспортная компания, вместе с доставкой товара
и на какой счет отнести эти затраты, не будет ли ошибкой на 41 сч?"	18058293	1	0	0	45362
Добрый день! Услуги по продвижению товары облагаются НДС. Покупатель и поставщик работают с НДС.	20173000	1	0	0	45362
