Query	ChatId	UserId	ChatQ	BotAnswer	BotHelp	Sys	templateId	templateText	etalon_text	algorithm	score	timeout
добрый день. сотрудник принес заявление на увольнение в печатной форме с личной подписью это правомерно?	11652243	519381	1	1	1	БСС	635315	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/635315/actual/	личное заявление на увольнение	SbertT5	0.7373622059822083	1.037689447402954
Добрый вечер Подскажите-Допускается применение одновременно нескольких видов поощрения.?	11652232	628464	1	0	0	БСС	0				0.0	1.0203096866607666
здравствуйте	11652247	897626	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Здравствуйте	Jaccard	1.0	0.126373291015625
Здравствуйте. Организация должник ликвидировано УФНС как недействующее предприятие. Перед нашей организацией у них долг. Можно ли включить в расходы по налогу на прибыль?	11652253	783516	1	0	0	БСС	0				0.0	0.89650559425354
Добрый день. Нормы списания спецодежды кладовщика?	11659250	9067708	1	0	0	БСС	554869	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/636647/actual/	нормы списания спецодежды автомастерские	SbertT5	0.9766115546226501	0.7159230709075928
Добрый день! Подскажите можно ли принять на работу экскавторщика у которого просрочены права еа экскаватор на 1 мес.?	11659266	4981512	1	1	0	БСС	505866	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/505866/actual/	работа экскаватора на объекте	SbertT5	0.8867857456207275	0.792994499206543
Добрый день! Подскажите пожалуйста при частичной ликвидации основного средства стоимость ликвидированной части по налоговому учету списывается единовременно или согласно спи ?	11659265	454088	1	1	1	БСС	541659	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/410630/actual/	налоговый учет материалы частичная ликвидация основного средства	SbertT5	0.9248284101486206	0.43367743492126465
Здравствуйте! Ставки земельного налога в Новосибирской области	11659252	17359321	1	1	1	БСС	569845	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142633/actual/	ставки земельного налога по свердловской области на 2022,2023 год	SbertT5	0.9950850009918213	0.7166411876678467
Здравствуйте. Какой оквэд указывать в отчетности если несколько видов деятельности?	11659281	18395919	1	0	0	БСС	146453	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/146453/actual/	отчетность ефс раздел 1.3 если юрик несколько вид деятельность по какой вид податься	SbertT5	0.6265671849250793	0.900510311126709
Здравствуйте! Можно ли выплатить компенсацию за неиспользованный отпуск не связанную с увольнением сотруднику, отработавшему 8 месяцев. За 8 месяцев сотрудник.в отпуск не ходил.	11659271	95018	1	1	0	БСС	450005	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/56069/actual/	можно ли выплачивать компенсация за неиспользованный отпуск, не связанная с увольнением при переходящем отпуске	SbertT5	0.8720560073852539	0.3571786880493164
