Query	ShortQuery	templateId	templateText	etalon_text	algorithm	score	timeout
Добрый день.Подскажите пожалуста.У меня работник в отпуске по 28.12.2023 г включительно.Пришел написал заявление на увольнение.Каким числом я его должна уволить 28 или 29 декабря	Как рассчитывается компенсация при увольнении в отпуске?	0				0.0	0.1942579746246338
Добрый день. Подскажите, что нужно делать, если сотрудник во время отпуска пошел на больничный ? Нужно ли отвечать на этот больничный?	Как отвечать на больничный лист сотрудника во время отпуска?	576193	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/676530/actual/	можно ли пойти в отпуск, находясь на больничном	SbertT5	0.6120964884757996	0.3979620933532715
Здравствуйте! Подскажите, пожалуйста, если сотрудник берет отпуск с последующим увольнением, то он же может не брать отпуск на все накопленные дни, а получить еще компенсацию за неотгул. отпуск в последний раб. день?	Можно ли получить компенсацию за неотгул отпуск в последний рабочий день при увольнении?	0				0.0	0.18372082710266113
Здравствуйте. Сотрудница работает внешним совместителем. У нее заканчивается больничный по беременности и родам 02.02.24. Пособие до 1,5 лет она будет оформлять по основному месту работы. Какие документы нужно оформить, чтобы отправить ее в отпуск до 1,5 без назначения пособия?	Какие документы нужно оформить для отправки в отпуск без назначения пособия до 1,5 лет?	0				0.0	0.41864967346191406
Добрый день, подскажите если сотрудник уходит в отпуск января 2024 года. Устроился к нам 30.05.2013 года, какой период работы должен указан быть в приказе	Какой период работы должен указываться в приказе для сотрудника, ушедшего в отпуск в январе 2024 года, если он устроился в компанию 30.05.2013 года?	0				0.0	0.39502859115600586
Добрый день, подскажите в отчете ЕФС-1 с подразделением 1.2(замена СЗВ-Стаж) должны указывать всех сотрудников или только у кого отпуск за свой счет, декретн,, вахтов. и т.д?	Как заполнять отчет ЕФС-1 с подразделением 1.2 для сотрудников с отпуском за свой счет, декретом, вахтовкой и т.д.?	491181	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/523846/actual/	до или отпуск за свой счет сзв-стаж	SbertT5	0.9513794183731079	0.3659477233886719
Добрый день.Подскажите,пожалуйста. Сотрудница вышла в отпуск по уход.за ребенком до 1.5 лет, и сразу же вышла на работу на условиях неполного раб.времени с сохранением пособия. Как это отразить в СЗВ-СТАЖ? Код ДЕТИ не проставляем, верно? И нужно ли указать ставку 0,5?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1.5 лет с сохранением пособия?	0				0.0	0.47493505477905273
Доброго Дня! Сотрудник отработал 6 мес., у него наступает право на оплачиваемый отпуск. Обязан ли ИП предоставить отпуск за 12 мес. по просьбе сотрудника? Или может отказать и предоставить только за проработанное время? Спасибо.	Может ли ИП предоставить отпуск за 12 мес. по просьбе сотрудника, если он проработал только 6 мес.?	0				0.0	0.4061617851257324
Добрый день! В какой срок и на какую дату нужно подать форму ЕФС-1 подраздел 1.2, до окончания отчетного периода, на сотрудницу которая подала заявление на отпуск по беременности и родам или по уходу за ребенком до 1,5 лет?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1.5 лет с сохранением пособия?	0				0.0	0.20361042022705078
Доброго Дня! ИП закрывает магазин и предлагает сотрудникам другие места работы - в другом магазине. Если кто-либо из сотрудников отказывается, то обязан ли ИП сделать какие-либо выплаты этому сотруднику в связи с сокращением, кроме компенсации за отпуск? Спасибо.	Обязаны ли работодатели выплачивать компенсацию за отпуск при сокращении рабочих мест?	0				0.0	0.4374845027923584
Каким образом исчисляется средний заработок при начислении отпуска по уходу до 1,5 лет, в случае если сотрудница числилась у двух страхователей?	Как рассчитывается средний заработок при начислении отпуска по уходу до 1,5 лет, если сотрудница числилась у двух страхователей?	0				0.0	0.30626916885375977
Здравствуйте ! Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием? Если предоставляются , то они оплачиваемые или за свой счет ?	Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием и оплачиваемые ли они?	464122	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/410678/actual/	дополнительный оплачиваемый отпуск в связи с бракосочетанием согласно коллективного договора	SbertT5	0.965916097164154	0.412121057510376
Сотрудница после выхода из декретного отпуска вышла на полный рабочий день, соответственно заявление на пособие по уходу за ребенком до 1,5 лет не писала. В связи с изменениями в 2024 году сотрудница написала заявление на выплату данного пособия. Положено ли ей пособие по уходу за ребенком до 1,5 лет, если она работает на полной ставке и до сегодняшнего момента заявления не писала? Если она имеет право на данное, то как в данном случае необходимо оформить?	Может ли сотрудница, работающая на полной ставке, получить пособие по уходу за ребенком до 1,5 лет, если она не подавала заявление ранее?	0				0.0	0.21976041793823242
у нас трудится внешний совместитель на 0,5 ставки. По основному месту работы он является директором в ООО, в котором деятельность пока не ведется, т.е. он находится в отпуске без сохранения зарплаты. В настоящее время он хочет перейти на полную ставку в нашей компании. Возможно ли это?	Можно ли совмещать должность директора ООО с другой работой на полной ставке?	0				0.0	0.495556116104126
здравствуйте! подскажите пожалуйста Нужно  платить страховые взносы на травматизм с зарплаты и компенсации за не использованный отпуск умершему сотруднику. начисление после смерти сотрудника	Как платить страховые взносы на травматизм с зарплаты и компенсацию за не использованный отпуск?	0				0.0	0.2086789608001709
Здравствуйте. Сотрудница на момент выхода в отпуск по уходу за ребенком до 1,5 лет работала в двух организациях. Пособие выбрала получать в ИП, так как зп там была больше. Сегодня она планирует уволиться от ИП. Остаться в ООО и получать пособие от ООО. Но зарплата в ООО была меньше, чем в ИП. Поясните, как ФСС будет начислять пособие? Пособие станет меньше?	Как будет рассчитываться пособие, если сотрудница работала в двух организациях и выбирает получать пособие в одной из них?	0				0.0	0.21003007888793945
здравствуйте, подскажите, работник уходит в отпуск с 01 января 2024 года, а сумма отпускных начисляется и выплачивается 29 декабря 2023 года. С января новые оклады, по каким окладам считать???	Какие оклады считать для работника, уходящего в отпуск с 01 января 2024 года, но сумма отпускных выплачивается 29 декабря 2023 года?	0				0.0	0.2942359447479248
Добрый день, Директор находится в отпуске, приказ на замещение и право подписи не делали, может ли он утверждать авансовые отчеты  и подписывать приказ на увольнение сотрудника	Может ли директор в отпуске подписывать документы?	0				0.0	0.40750598907470703
Добрый день, подскажите, пожалуйста, по какому пункту закона или мет. рекомендациям лимит резерва отпусков достигается когда входящий остаток на начало года + начисленный резерв = установленному в компании пределу, а не когда входящий остаток + начисленный резерв-потраченный резерв = установленный предел. То есть почему при достижении предела не учитывается потраченный на отпуска резерв?	Как рассчитывается лимит резерва отпусков?	0				0.0	0.1862804889678955
Добрый день, есть решение от 30 ноября 2023 г единственного учредителя от 30 ноября 2023 г  о выплате дивидендов за 2018 год. Однако с 1 декабря 2023 г он находится в ежегодном отпуске, т к одновременно является и работником предприятия, правомерно ли во время его отпуска выплачивать дивиденды на его банковскую карту?	Можно ли выплачивать дивиденды во время отпуска учредителя?	0				0.0	0.5325353145599365
Сотрудник умер 7сентября 23г.,находясь на продолжительном б/листе,его родственникам выплачено пособие на погребение,мат.помощь 10000руб,компенсация за неиспользованный отпуск 15000руб.Какие суммы конкретно необходимо указать в строке 070 на этого сотрудника???	Какие суммы необходимо указать в строке 070 на сотрудника, умершего 7 сентября 2023 года, находясь на продолжительном больничном листе?	0				0.0	0.20153260231018066
"Добрый день! Если сотрудница оформила отпуск по беременности и родам с ноября 2023 по апрель 2024 (больничный лист). Пособие за 140 дней СФР ей выплатил в ноябре 2023 года. Нужно ли в 2024 году подавать на неё Подраздел 1.2 ЕФС-1 с типом сведений ""Назначение выплат по ОСС"" с 01.01.2024 по Дата окончания больничного по беременности и родам?"	Как рассчитывается компенсация при увольнении в отпуске?	0				0.0	0.2254335880279541
